Name,Year,Rec,Yards,TD,Team Rec,Team Attempts,Team Yard,Team TD,MSREC,MSYD,MSTD,YPC,YDPTA,TDPTA,Rush Attempts,Rush Yards,Rush TD,P Ret,P Yds,P TD,K Ret,K Yds,K TD,BO Age,Age,Draft Pick,Height,Weight,40 time,Vert,Broad,3 cone,Shuttle,Adj CarAV
Kerry Meier,2010,102,985,8,320,502,3724,22,0.31875,0.264500537,0.363636364,9.656862745,1.962151394,0.015936255,4,-7,0,0,0,0,0,0,0,23,23,165,74,224,4.66,35,115,6.56,4.23,0.00
Cory Rodgers,2006,52,685,5,209,377,2493,15,0.248803828,0.274769354,0.333333333,13.17307692,1.816976127,0.013262599,29,76,7,69,825,0,71,1747,2,22,22,104,72,188,4.65,33.5,110,7.37,4.19,0.00
Travis Wilson,2006,25,310,1,96,185,1099,3,0.260416667,0.282074613,0.333333333,12.4,1.675675676,0.005405405,3,66,1,0,0,0,18,303,0,21,21,78,74,214,4.52,36.5,120,6.7,3.99,0.00
Devon Wylie,2012,56,716,1,279,447,3544,26,0.200716846,0.202031603,0.038461538,12.78571429,1.601789709,0.002237136,18,118,0,41,533,2,16,333,0,23,23,107,69,187,4.36,39,123,6.82,4.16,0.00
Scotty McKnight,2011,50,621,7,236,396,2672,21,0.211864407,0.23241018,0.333333333,12.42,1.568181818,0.017676768,0,4,1,8,36,0,1,21,0,21,22,227,70,182,4.5,34,128,6.68,4.07,0.00
Ronald Johnson,2011,64,692,8,279,453,3148,28,0.229390681,0.219822109,0.285714286,10.8125,1.527593819,0.017660044,16,88,0,22,312,1,56,1351,0,22,22,182,71,199,4.57,37.5,124,6.64,4.28,0.00
Toney Clemons,2012,43,680,8,250,448,3089,21,0.172,0.220135966,0.380952381,15.81395349,1.517857143,0.017857143,5,23,0,3,6,0,14,350,0,23,23,231,74,210,4.4,36,128,6.93,4.33,0.00
Joe Adams,2012,54,652,3,299,470,3909,26,0.180602007,0.166794577,0.115384615,12.07407407,1.387234043,0.006382979,27,248,2,36,570,5,7,124,0,22,22,104,70,179,4.55,36,123,7.09,4.18,0.00
Demetrius Byrd,2009,37,513,4,206,391,2617,21,0.17961165,0.196025984,0.19047619,13.86486486,1.31202046,0.010230179,0,0,0,0,0,0,0,0,0,22,22,224,72,199,4.42,31.5,117,7.08,4.52,0.00
Derrick Williams,2009,44,485,4,223,378,3137,24,0.197309417,0.154606312,0.166666667,11.02272727,1.283068783,0.010582011,117,594,8,66,724,3,50,1095,2,22,22,82,71,194,4.68,33,115,6.96,4.21,0.00
Ryan Whalen,2011,41,439,2,266,379,3363,32,0.154135338,0.13053821,0.0625,10.70731707,1.158311346,0.005277045,0,0,0,0,0,0,0,0,0,20,21,167,73,202,4.6,38.5,123,6.67,4.09,0.00
Derek Kinder,2009,36,422,3,213,378,2644,10,0.169014085,0.159606657,0.3,11.72222222,1.116402116,0.007936508,2,9,0,2,14,0,0,0,0,22,22,251,72,202,4.54,36.5,109,6.64,4.1,0.00
Bennie Brazell,2006,13,292,3,216,360,2912,22,0.060185185,0.100274725,0.136363636,22.46153846,0.811111111,0.008333333,0,0,0,0,0,0,1,40,0,23,23,231,73,176,4.42,36,131,6.8,4.21,0.00
Skyler Green,2006,32,268,0,216,360,2912,22,0.148148148,0.092032967,0,8.375,0.744444444,0,31,258,1,77,1064,4,38,792,0,21,21,125,69,192,4.53,34,118,6.84,4.2,0.00
Adam Jennings,2006,22,278,3,271,429,3384,31,0.081180812,0.0821513,0.096774194,12.63636364,0.648018648,0.006993007,48,337,3,98,788,2,72,1803,0,23,23,184,69,181,4.48,37.5,118,6.88,4.12,0.00
Greg Childs,2012,21,240,0,193,470,2440,18,0.10880829,0.098360656,0,11.42857143,0.510638298,0,0,0,0,0,0,0,0,0,0,21,21,134,75,219,4.55,36.5,125,6.9,4.09,0.00
